codIBGE;regiao;quantLeitos;ocupacao;taxaOcupacao
21001 ;AÇAILÂNDIA;7;7;1,00
21002 ;BACABAL;2;2;1,00
21003 ;BALSAS;7;4;0,57
21004 ;BARRA DO CORDA;;;
21005 ;CAXIAS;;;
21006 ;CHAPADINHA;10;10;1,00
21007 ;CODÓ;33;18;0,54
21008 ;IMPERATRIZ;45;35;0,77
21009 ;ITAPECURU MIRIM;;;
21010 ;PEDREIRAS;;;
21011 ;PINHEIRO;19;0;0,78
21012 ;PRESIDENTE DUTRA;12;12;1,00
21013 ;ROSÁRIO;6;3;0,50
21014 ;SANTA INÊS;15;12;0,80
21015 ;SÃO JOÃO DOS PATOS;2;0;0,00
21016 ;SÃO LUÍS;230;211;0,91
21017 ;TIMON;12;8;0,66
21018 ;VIANA;;;
21019 ;ZÉ DOCA;;;